Designator,Mid X,Mid Y,Rotation,Layer
C1,137.5,-73.5,180.0,top
C10,74.25,-54.61,180.0,top
C11,101.25,-71.932379,270.0,top
C12,93.0665,-67.53625,90.0,top
C13,62.6,-75.75,180.0,top
C14,62.6,-64.45,270.0,top
C15,72.1868,-64.45,90.0,top
C16,93.0665,-76.33625,90.0,top
C17,78.0,-66.5,270.0,top
C2,135.1,-75.975,180.0,top
C3,147.0,-86.25,180.0,top
C4,167.5,-68.1875,90.0,top
C5,163.8575,-69.75,180.0,top
C6,72.4,-120.7,0.0,top
C7,76.9,-118.20324,90.0,top
C8,132.4,-105.79306,180.0,top
C9,139.7375,-125.0,0.0,top
D1,164.592,-51.82,90.0,top
D10,141.86,-87.905,270.0,top
D11,137.11,-87.889,270.0,top
D12,132.36,-87.889,270.0,top
D13,127.61,-87.889,270.0,top
D14,122.86,-87.905,270.0,top
D2,61.468,-88.392,0.0,top
D3,61.468,-84.836,180.0,top
D4,113.5,-131.64,0.0,top
D5,173.0,-51.775,270.0,top
D6,173.0,-57.775,270.0,top
D7,173.0,-63.775,270.0,top
D8,80.5,-131.64,0.0,top
D9,173.0,-28.75,270.0,top
ENC1,65.0,-102.5,0.0,top
ENC2,97.5,-102.5,0.0,top
ENC3,130.0,-102.5,0.0,top
F1,168.07,-39.04,270.0,top
J1,82.875,-35.9355,270.0,top
J10,96.958,-115.316,90.0,top
J11,110.993,-115.316,90.0,top
J12,143.769,-110.617,0.0,top
J2,106.875,-35.9355,270.0,top
J3,130.875,-35.9355,270.0,top
J4,172.593,-76.586,180.0,top
J5,158.4,-29.55,270.0,top
J6,96.261,-87.117,90.0,top
J7,103.235,-56.465,180.0,top
J8,157.934,-50.66,0.0,top
J9,96.7055,-122.174,90.0,top
POT1,162.0,-38.0,0.0,top
POT2,162.0,-78.0,0.0,top
POT3,162.0,-58.0,0.0,top
Q1,154.792,-78.486,270.0,top
Q2,154.792,-67.818,270.0,top
R1,84.31,-84.709,0.0,top
R10,131.25,-94.0,90.0,top
R11,127.125,-94.0,90.0,top
R12,123.0,-94.0,90.0,top
R13,133.8,-78.5,0.0,top
R14,158.5,-68.75,270.0,top
R15,154.432,-73.1,270.0,top
R16,154.432,-41.908799,270.0,top
R17,154.432,-58.42,90.0,top
R18,108.458,-127.254,90.0,top
R19,138.176,-110.336999,270.0,top
R2,118.364,-127.254,270.0,top
R20,154.432,-48.108801,270.0,top
R21,133.5,-125.25,180.0,top
R22,135.636,-110.336999,270.0,top
R23,133.096,-110.336999,270.0,top
R24,141.5,-121.3,90.0,top
R25,130.556,-110.336999,270.0,top
R26,143.8,-121.3,90.0,top
R27,100.33,-103.4796,225.0,top
R28,102.0064,-105.156,225.0,top
R29,146.5,-45.0088,270.0,top
R3,169.2,-50.21,270.0,top
R30,71.374,-46.45,90.0,top
R31,58.166,-46.482,270.0,top
R32,58.166,-40.9224,270.0,top
R33,90.75,-56.06,270.0,top
R34,97.75,-56.063,90.0,top
R35,84.31,-70.03625,0.0,top
R36,84.31,-74.927166,180.0,top
R37,73.7,-79.818082,0.0,top
R38,73.7,-74.927166,180.0,top
R39,62.6,-71.75,180.0,top
R4,166.9,-59.6,180.0,top
R40,68.3768,-58.6,0.0,top
R41,73.7,-84.70775,0.0,top
R42,84.31,-79.818082,180.0,top
R5,165.608,-63.0,180.0,top
R6,84.2,-124.5,0.0,top
R7,143.625,-94.0,90.0,top
R8,139.5,-94.0,90.0,top
R9,135.375,-94.0,90.0,top
RG1,101.2575,-63.683,270.0,top
SW1,167.5,-31.275,0.0,top
SW2,64.0,-132.25,0.0,top
SW3,97.0,-132.25,0.0,top
SW4,130.0,-132.25,0.0,top
SW5,64.918,-42.418,90.0,top
TP1,118.9,-36.005,180.0,top
TP10,104.7,-58.5,0.0,top
TP11,69.89,-70.25,0.0,top
TP12,76.75,-58.6,0.0,top
TP2,117.5,-109.8,0.0,top
TP3,117.5,-99.8,0.0,top
TP4,117.5,-103.9,0.0,top
TP5,142.5,-68.75,0.0,top
TP6,146.25,-70.5,0.0,top
TP7,138.25,-51.75,0.0,top
TP8,80.0,-52.5,0.0,top
TP9,94.25,-59.8,0.0,top
U1,84.318,-104.14,90.0,top
U2,72.885299,-105.029,0.0,top
U3,84.3105,-61.12625,180.0,top
U4,164.68,-81.25,180.0,top
U5,141.25,-79.25,90.0,top
U6,124.576112,-103.18956,270.0,top
U7,129.286,-118.799,270.0,top
