Frequency,Nominal,Min,Max
1950,36472.2515596579,32973.31131811195,40708.15991172566
2000,35529.647015211835,32112.338262186662,39665.04571362061
2050,34632.35392547282,31292.602514572685,38672.24314838557
2100,33777.14202774664,30511.168189848137,37726.162409343946
2150,32961.0816518364,29765.372642738203,36823.54769689125
2200,32181.509558809652,29052.795412318002,35961.439261724176
2250,31435.999334574044,28371.231306977537,35137.14050895555
2300,30722.335645141764,27718.667000038215,34348.18939298149
2350,30038.491778439773,27093.260613164224,33592.3334640538
2400,29382.609993380687,26493.32385185372,32867.508034018065
2450,28752.984275159288,25917.306328433544,32171.817015622608
2500,28148.045159904967,25363.781766310283,31503.51606110057
2550,27566.346344663933,24831.43582727265,30860.997684438567
2600,27006.552842380006,24319.055343361142,30242.778100297845
2700,25947.836550615568,23349.787686972726,29073.849941473065
2750,25446.711516895386,22890.899258395293,28520.69357800989
2800,24963.071562161556,22447.959458951864,27986.922934543927
2850,24496.001955985106,22020.13704388165,27471.521259658643
2900,24044.65109415078,21606.658130744076,26973.541958594415
2950,23608.225146695444,21206.80133421551,26492.102646597752
3000,23185.983241153455,20819.89338745535,26026.379796933077
3050,22777.23311959345,20445.305194209937,25575.603915319494
3100,22381.327215955476,20082.44826302384,25139.05518135728
3150,21997.659106989722,19730.771481105996,24716.059505056917
3200,21625.66029593565,19389.758190702043,24305.984953069892
3300,20914.568961907135,18737.812047727693,23522.263103459823
3400,20244.15924877948,18123.070666231553,22783.561160731457
3500,19610.982465821246,17542.399317361145,22086.045653282235
3600,19011.973298118883,16993.01145179436,21426.30932941452
3700,18444.39794695914,16472.42156721032,20801.31353089268
3900,17394.015781096998,15508.966955792755,19644.948147164436
4000,16907.0383446874,15062.308756984354,19108.943491991504
4100,16443.095266924647,14636.808701297132,18598.34452718029
4200,16000.57336870693,14230.998580207264,18111.358852964422
4320,15495.772327594717,13768.15012478872,17555.867343110822
4450,14978.707031667664,13294.167830323264,16986.894509843874
4580,14490.126660265756,12846.433098018333,16449.25663822396
4750,13890.404077666819,12297.082737649713,15789.264583857204
4880,13459.19504400354,11902.292973441332,15314.654290103172
5000,13080.517582640903,11555.766824341023,14897.793289185625
5150,12631.344504966391,11144.972626002478,14403.21367646915
5300,12206.97574578059,10757.147067008353,13935.796586853408
5500,11676.355073775436,10272.680945751104,13351.082356164026
5650,11302.546976480473,9931.748950583795,12938.942101749471
5800,10947.733853427966,9608.461560786729,12547.533612490966
6000,10501.84232554717,9202.694586119915,12055.302587659764
6150,10186.236021381605,8915.875552090587,11706.61788070237
6300,9885.536243022323,8642.93903451704,11374.151129570226
6450,9598.755070933063,8382.9732296275,11056.813968875245
6600,9324.992646680803,8135.146446152765,10753.616092630835
6750,9063.427376247204,7898.698248471013,10463.654324538282
6880,8846.02084459594,7702.440347310116,10222.42073902156
7000,8652.576424174396,7528.036839498979,10007.58767675785
7150,8420.027565936758,7318.676342754125,9749.07123640034
7320,8168.201915682532,7092.356627837488,9468.78113431471
7500,7914.294804022888,6864.617230858677,9185.77412900584
7650,7712.0944347429595,6683.605406643672,8960.084008796493
7800,7517.936033657478,6510.106062685305,8743.082618139402
8000,7270.833712924727,6289.77243231647,8466.464351470831
8200,7036.341691975673,6081.214425341894,8203.458994087141
8400,6813.61435238705,5883.638115033644,7953.149374868669
8600,6601.881048855712,5696.318860898943,7714.701121345459
8800,6400.43771571981,5518.593684036159,7487.353277626479
9000,6208.639597226624,5349.854653575279,7270.410181223959
9200,6025.89492900907,5189.543128986949,7063.234406205751
9400,5851.659427775848,5037.14472976452,6865.240612939167
9600,5685.431470216543,4892.184925658604,6675.890171367883
9800,5526.747861701352,4754.22515830474,6494.686446543725
10000,5375.180111399616,4622.859419536932,6321.170652996152
10200,5230.331143644097,4497.711223554472,6154.91819923115
10400,5091.832386274878,4378.43091990439,5995.53545581404
10600,4959.341185741983,4264.693302352219,5842.656890586954
10800,4832.538506273443,4156.195475452973,5695.942522983496
11000,4711.1268767023685,4052.654946254499,5555.075656436693
11200,4594.828553814376,3953.8079132676357,5419.760853777398
11500,4429.405085398301,3813.802474152146,5226.599956897281
11800,4274.0984767094515,3683.0389088353104,5044.456587696197
12000,4175.816235405718,3600.650941984171,4928.761217121961
12200,4081.5023058073903,3521.869006275176,4817.402296773869
12500,3947.0621396337906,3410.0683882880558,4658.060277529435
12800,3820.5374490825707,3305.419837426392,4507.401341859968
13000,3740.3161218247815,3239.3724119770645,4411.500954970178
13200,3663.2224736870567,3176.133679657399,4319.046196521257
13500,3553.140650455845,3086.252347226513,4186.500704302899
13800,3449.3380956885353,3001.9730667907224,4060.904811243309
14000,3383.4220054892953,2948.7073502793323,3980.8201295038957
14200,3320.0016913714935,2897.6526760844968,3903.5115089563005
14500,3229.3179315155953,2824.9966935727316,3792.506780750623
14800,3143.670972912152,2756.769990014623,3687.1344635644414
15000,3089.2153132704198,2713.5995283018283,3619.8499057549593
15500,2961.6956727682305,2613.1820616617715,3461.343693477728
16000,2845.506832804114,2522.5705890452086,3315.657170161027
16500,2739.5394865737962,2440.7291833801896,3181.609357243602
17000,2642.807702834621,2366.7411129306174,3058.1486294126184
17500,2554.4326111224736,2299.7932618419522,2944.3354538343606
18000,2473.628673214156,2239.1629826907442,2839.3278727469065
18500,2399.692070003951,2184.2069298935703,2742.3692280580767
19000,2331.990827591426,2134.3515159117424,2652.7777303665284
19500,2269.9563799904095,2089.084705087943,2569.9375544745794
20000,2213.0763237162137,2045.3674307717142,2493.291205153327
20500,2160.888165380522,2003.704345874816,2422.332945132093
21000,2112.97390008592,1965.8872516985462,2356.603115292654
21500,2068.9552879034086,1931.5422362533138,2295.6832072708585
22000,2028.4897195583471,1900.3330092104504,2239.191572898764
22500,1991.266581795093,1871.9570005419207,2186.779674500274
23000,1957.0040486234468,1846.141894214138,2138.128795991736
23500,1925.4462374619884,1819.9712531454318,2092.9471478001383
24000,1896.3606796318998,1792.7111066351201,2050.9673093784063
24500,1869.5360631596943,1764.9590504366445,2011.9439620179405
25000,1844.7802127751609,1736.861879821062,1975.6518720804656
25500,1821.9182776338805,1711.030401000468,1949.2318601182876
26000,1800.7911018916168,1687.2757068791225,1929.1927618182274
27000,1763.174217724724,1645.320052871853,1893.1576260168915
27500,1746.4321661671875,1626.8162582370442,1876.9480690821947
