Frequency,Nominal,Min,Max
1950,-93.33540690790029,-94.67058174814017,-91.82978889466105
2000,-93.41341800149507,-94.78160580640652,-91.87208983601187
2050,-93.4908746166224,-94.8919859392641,-91.9140478233413
2100,-93.56776483376606,-95.00170839150444,-91.95565522037326
2150,-93.64407686635708,-95.11075956681202,-91.99690445644538
2200,-93.71979906276957,-95.21912602998727,-92.03778802766293
2250,-93.79491990824376,-95.32679450906268,-92.07829849802745
2300,-93.86942802673134,-95.43375189732213,-92.11842850053281
2350,-93.94331218266372,-95.53998525522346,-92.1581707382363
2400,-94.01656128264491,-95.6454818122166,-92.19751798529653
2450,-94.08916437706492,-95.7502289684652,-92.2364630879847
2500,-94.16111066164174,-95.85421429646729,-92.27499896566485
2550,-94.23238947888018,-95.95742554257914,-92.31311861174392
2600,-94.30299031945772,-96.05985062843689,-92.35081509459442
2700,-94.44211678198697,-96.26229489019276,-92.42491122423337
2750,-94.51062213755907,-96.36229079720835,-92.46129739045354
2800,-94.57840898595045,-96.46145400836932,-92.49723343393782
2850,-94.64546757681887,-96.55977333965483,-92.53271281063697
2900,-94.7117883147136,-96.65723778882577,-92.5677290563559
2950,-94.77736175993282,-96.75383653617929,-92.60227578746314
3000,-94.84217862930878,-96.84955894520506,-92.6363467015698
3050,-94.90622979691977,-96.94439456315509,-92.66993557817764
3100,-94.96950629473089,-97.03833312151953,-92.70303627929714
3150,-95.03199931316372,-97.13136453641827,-92.73564275003564
3200,-95.09370020159476,-97.22347890890032,-92.767749019155
3300,-95.21469178324782,-97.40491785667315,-92.82852133357721
3400,-95.33241502845733,-97.58257447794112,-92.88246504020084
3500,-95.4468064897867,-97.75637624985725,-92.93378071565745
3600,-95.55780528780353,-97.9262536087997,-92.98242041631705
3700,-95.6653531112557,-98.09213994065864,-93.02833827949944
3900,-95.86987540445334,-98.41168772358571,-93.11183546251971
4000,-95.96674604088942,-98.56523054274442,-93.1493334740929
4100,-96.05995801082483,-98.7145450210829,-93.18394702329601
4200,-96.14946571659695,-98.85957899153925,-93.21564063966825
4320,-96.25192481850841,-99.02790017435177,-93.2497717654565
4450,-96.35675202755347,-99.20311952901392,-93.28188572210837
4580,-96.45508246919923,-99.3708333776559,-93.30888259604058
4750,-96.57374139408833,-99.57868326266251,-93.33637071645455
4880,-96.65680352022409,-99.72875798868807,-93.35134998496423
5000,-96.72751302662998,-99.86039850024332,-93.36048715806734
5150,-96.8077839050936,-100.01557031939763,-93.36552952502203
5300,-96.87896991634551,-100.16024130118808,-93.36343628607946
5500,-96.95964763599555,-100.33667399023051,-93.34947352297803
5650,-97.0094141860267,-100.4565722052687,-93.33058122016087
5800,-97.04993081936325,-100.56576372982583,-93.304446537314
6000,-97.08951738753387,-100.69463166631554,-93.25831231277492
6150,-97.1083585585418,-100.77870622248341,-93.21524045048903
6300,-97.11789266979194,-100.85198141436202,-93.16491245885874
6450,-97.11812169816052,-100.91444911250004,-93.10734083906577
6600,-97.10905582680023,-100.96610951796818,-93.04254526229172
6750,-97.09071310195547,-101.00697075528906,-92.97055228349754
6880,-97.0673317076522,-101.03366041243538,-92.90236193047377
7000,-97.03959938183641,-101.0511204235691,-92.83466266812528
7150,-96.99666278267743,-101.06327963792586,-92.74365571068142
7320,-96.93694404421527,-101.06411756874078,-92.63199984644882
7500,-96.86098662353959,-101.05007964047782,-92.50400167462297
7650,-96.78776029099897,-101.02671198886517,-92.38973153751809
7800,-96.70557604732144,-100.99279234604586,-92.2686187993919
8000,-96.58218318848836,-100.93125363457413,-92.09661532106509
8200,-96.44316753687556,-100.85121210795515,-91.87833182663783
8400,-96.28872257304091,-100.7686795359709,-91.63459030849351
8600,-96.11905577960461,-100.69884686343497,-91.37743400410815
8800,-95.93438766689293,-100.61312813280475,-91.1071443404473
9000,-95.7349508544138,-100.51169618048053,-90.82401464840288
9200,-95.52098920642355,-100.39473352162071,-90.52834911546822
9400,-95.29275701939261,-100.26243163206443,-90.2204617829184
9600,-95.05051825881166,-100.11499028969808,-89.90067558589838
9800,-94.79454584249825,-99.95261697258032,-89.56932143461889
10000,-94.52512096735605,-99.77552631086897,-89.22673733473201
10200,-94.24253247639825,-99.58393958937219,-88.87326754488795
10400,-93.94707626276873,-99.37808429739121,-88.50926176945825
10600,-93.63905470746906,-99.15819372240409,-88.13507438444105
10800,-93.31877614752284,-98.92450658408093,-87.75106369463319
11000,-92.9865543713733,-98.67726670508154,-87.35759122025082
11200,-92.64270813841141,-98.41672271509739,-86.95502101130579
11500,-92.10585121261745,-98.0015165145932,-86.33490825120613
11800,-91.54467533705265,-97.55781907160548,-85.6963887488209
12000,-91.1576025809142,-97.24663228599967,-85.26109613061503
12200,-90.76055824158225,-96.92344817556615,-84.81854173892215
12500,-90.14703822960615,-96.41677445418115,-84.1418949859032
12800,-89.513000565407,-95.88465550862216,-83.45096150357136
13000,-89.07948350442615,-95.51624202863407,-82.98300358315309
13200,-88.63770912465716,-95.13722699994594,-82.50959395446165
13500,-87.9603220783175,-94.54945760147515,-81.79002941362661
13800,-87.26630295424286,-93.9394672513042,-81.06016807651324
14000,-86.79495970741424,-93.52095340697969,-80.56844357377479
14200,-86.3170875992021,-93.09330392853794,-80.0729906823322
14500,-85.58878852108728,-92.43535711226862,-79.32354039930084
14800,-84.8477234187945,-91.75855066737276,-78.56753008490215
15000,-84.34715168058759,-91.29737630229248,-78.06040192939938
15500,-83.07530852084902,-90.11178091720275,-76.70026982695745
16000,-81.77840051540103,-88.88338319718979,-75.13945284189099
16500,-80.46141856671504,-87.61701497913192,-73.58062560504797
17000,-79.1291722200904,-86.31750246052474,-72.02923991448128
17500,-77.78626142958134,-84.98963878848376,-70.4902216639252
18000,-76.43705147509013,-83.63815503492478,-68.9679638859869
18500,-75.08565154992756,-82.26769027456947,-67.46632955538145
19000,-73.73589741989862,-81.13524112487441,-65.98866320794815
19500,-72.39133841179242,-80.00325398636292,-64.53781016874844
20000,-71.05522883472356,-78.86129000378875,-63.11614202316584
20500,-69.73052378477121,-77.7121861998511,-61.725586903694044
21000,-68.41987914253805,-76.55865164951484,-60.36766318908622
21500,-67.12565545277155,-75.40325791525895,-59.04351530407606
22000,-65.84992528037473,-74.24843108369579,-57.7539504475035
22500,-64.59448357048096,-73.0964454908665,-56.499475245526654
