Frequency,Nominal,Min,Max
1950,-0.006189467247677893,-0.02555005628768125,0.009002821050101181
2000,-0.0065247032373340645,-0.026886601783008675,0.009457226544558654
2050,-0.006869834566472039,-0.02825794943517521,0.009921779807373918
2100,-0.007224966506894295,-0.029664170559533493,0.010396378662967134
2150,-0.007590206884383405,-0.031105338096361915,0.010880918357117287
2200,-0.007965666075170501,-0.03258152660091795,0.011375291553109896
2250,-0.008351457002203739,-0.03409281223324544,0.011879388327819427
2300,-0.008747695131357692,-0.03563927274780071,0.012393096167752485
2350,-0.009154498467508449,-0.037220987482781506,0.012916299964987167
2400,-0.00957198755046476,-0.038838037349258364,0.01344888201310193
2450,-0.010000285450797803,-0.04049050482003693,0.01399072200302745
2500,-0.010439517765525225,-0.04217847391832949,0.014541697018837712
2550,-0.01088981261367367,-0.04390203020614095,0.015101681533509981
2600,-0.011351300631719925,-0.04566126077245801,0.01567054740461408
2700,-0.01230839128219259,-0.049287100658825134,0.016834397543321587
2750,-0.012804267731701874,-0.05115389168202017,0.017429112409757246
2800,-0.013311884975147223,-0.05305672036470082,0.018032169821414968
2850,-0.01383138616280373,-0.05499568124514929,0.01864342849288568
2900,-0.014362916932003906,-0.056970870312754295,0.019262744496704363
2950,-0.01490662540160096,-0.05898238499454329,0.019889971258786467
3000,-0.015462662166221271,-0.061030324141509606,0.020524959553844774
3050,-0.016031180290373825,-0.06311478801466061,0.021167557500775737
3100,-0.016612335302443937,-0.06523587827089111,0.02181761055801951
3150,-0.017206285188449723,-0.06739369794858563,0.02247496151892879
3200,-0.01781319038570363,-0.06958835145301805,0.02313945050708328
3300,-0.019066520680201038,-0.07408858430826357,0.024489189682644998
3400,-0.020373658457379065,-0.07873743884670133,0.025865495500445757
3500,-0.02173597477291181,-0.08353579797500961,0.027266992360506802
3600,-0.023154879232193108,-0.08848456498893155,0.028692261497470957
3700,-0.024631819743938382,-0.09358466305143456,0.03013984083157548
3900,-0.027765790511913656,-0.10424264107957129,0.03309586431471613
4000,-0.029425905710753274,-0.10980246181226908,0.03460116641025417
4100,-0.031150226265062485,-0.11551749398564856,0.036122494310515625
4200,-0.032940387461195236,-0.121388751778082,0.03765816718654521
4320,-0.03517784704732675,-0.1286419311812482,0.039517478095408926
4450,-0.03771490373680742,-0.1367571855780843,0.04154867932293414
4580,-0.04037338989565004,-0.14514267343369686,0.043593587904147815
4750,-0.04403969361974798,-0.15652003156167915,0.04628146748546079
4880,-0.04699367825801172,-0.16553829790586425,0.04834197100421171
5000,-0.04984007250506217,-0.1741097721380719,0.05024363747001764
5150,-0.05356484044624471,-0.18516053104226965,0.05261464921230385
5300,-0.05748119551649635,-0.19658871565892128,0.054972166846007156
5500,-0.0630129489656094,-0.21242020733888853,0.05808162762654612
5650,-0.06740338798585349,-0.22474442164712793,0.0603783005484762
5800,-0.07200897302990024,-0.2374593264006085,0.06263576332652344
6000,-0.07849723064706689,-0.2550272762586302,0.06557049472142992
6150,-0.08363383756204205,-0.2686695779458152,0.06770413857072533
6300,-0.08901079824623967,-0.28271614359144076,0.06977031168878825
6450,-0.09463596936384656,-0.297171071794664,0.0717600417459468
6600,-0.10051733374177156,-0.312038462263192,0.07366412980799406
6750,-0.10666299451246755,-0.32732240943216984,0.07547315154413306
