Frequency,Nominal,Min,Max
1950,1.4616039476191053e-8,1.4001013776787797e-8,1.52290468479869e-8
2000,1.461707458021443e-8,1.4000833576525727e-8,1.5231250863588077e-8
2050,1.4618133241297042e-8,1.400064721068673e-8,1.5233506652907237e-8
2100,1.4619215260976541e-8,1.4000454560051904e-8,1.523581391254874e-8
2150,1.4620320435912613e-8,1.4000255502589089e-8,1.5238172331439915e-8
2200,1.4621448557889323e-8,1.4000049913462574e-8,1.5240581590819072e-8
2250,1.4622599413817644e-8,1.3999837665043125e-8,1.524304136422358e-8
2300,1.4623772785738163e-8,1.3999618626918201e-8,1.5245551317477755e-8
2350,1.4624968450823848e-8,1.3999392665902475e-8,1.524811110868074e-8
2400,1.4626186181383095e-8,1.3999159646048637e-8,1.5250720388194398e-8
2450,1.4627425744862874e-8,1.3998919428658355e-8,1.5253378798631108e-8
2500,1.4628686903852077e-8,1.3998671872293668e-8,1.525608597484158e-8
2550,1.4629969416085044e-8,1.399841683278847e-8,1.5258841543902745e-8
2600,1.4631273034445291e-8,1.3998154163260396e-8,1.526164512510552e-8
2700,1.4633942576851308e-8,1.399760533309763e-8,1.5267394762097486e-8
2750,1.4635307982446325e-8,1.3997318865227099e-8,1.5270340017430333e-8
2800,1.4636693457276038e-8,1.3997024152887542e-8,1.5273331683968352e-8
2850,1.4638098730032903e-8,1.3996721035802198e-8,1.5276369341892937e-8
2900,1.463952352458536e-8,1.3996409351054709e-8,1.5279452563528342e-8
2950,1.4640967559983076e-8,1.3996088933102915e-8,1.5282580913330263e-8
3000,1.4642430550462474e-8,1.3995759613792876e-8,1.5285753947874568e-8
3050,1.4643912205452563e-8,1.3995421222373172e-8,1.528897121584628e-8
3100,1.4645412229580932e-8,1.3995073585509512e-8,1.5292232258028758e-8
3150,1.464693032268016e-8,1.3994716527299635e-8,1.529553660729309e-8
3200,1.4648466179794373e-8,1.399434986928847e-8,1.5298883788587802e-8
3300,1.4651589942344048e-8,1.3993587027370874e-8,1.5305704707389865e-8
3400,1.4654780982085242e-8,1.3992783581654554e-8,1.5312691055198725e-8
3500,1.4658036687733657e-8,1.3991938014212107e-8,1.531983874540937e-8
3600,1.4661354372132939e-8,1.3991048767827892e-8,1.5327143563777763e-8
3700,1.4664731272544519e-8,1.3990114246554114e-8,1.5334601168177766e-8
3900,1.4671651294443732e-8,1.3988102805357769e-8,1.5349956725916117e-8
4000,1.4675188515487709e-8,1.398702250515495e-8,1.5357845353850318e-8
4100,1.4678773152411762e-8,1.398589017075109e-8,1.5365868116764525e-8
4200,1.468240206977864e-8,1.3984704021561042e-8,1.5374020030657496e-8
4320,1.4686810697759178e-8,1.3983207048272287e-8,1.538396559905019e-8
4450,1.4691646853654625e-8,1.3981491210018725e-8,1.5394930983265006e-8
4580,1.4696538320281642e-8,1.3979673431664596e-8,1.5406083429199978e-8
4750,1.4703005594769859e-8,1.3977135430150836e-8,1.542092920410421e-8
4880,1.4707995253765421e-8,1.3975066013396915e-8,1.5432465925937036e-8
5000,1.4712627298263805e-8,1.397305261151457e-8,1.5443244309795034e-8
