Frequency,Nominal,Min,Max
1950,-7.430731182918569,-8.58863986039095,-6.34967142228395
2000,-7.622083765056088,-8.810120876084351,-6.512998504152657
2050,-7.813498105982519,-9.031696318539845,-6.676364427534095
2100,-8.004975674800404,-9.253368393907403,-6.839770129373802
2150,-8.196517935018129,-9.47513929676161,-7.003216544075442
2200,-8.388126344407773,-9.697011209804257,-7.166704603436877
2250,-8.579802354862569,-9.918986303565946,-7.330235236586048
2300,-8.771547412253975,-10.141066736106714,-7.493809369916743
2350,-8.963362956288377,-10.363254652715703,-7.657427927024238
2400,-9.155250420363355,-10.585552185609814,-7.821091828640769
2450,-9.347211231423607,-10.807961453631334,-7.9848019925708975
2500,-9.539246809816403,-11.030484561944617,-8.148559333626693
2550,-9.731358569146707,-11.253123601731724,-8.312364763562789
2600,-9.923547916131808,-11.475880649887022,-8.476219191011305
2700,-10.308164964622465,-11.921757005602156,-8.804078656969809
2750,-10.500595443810592,-12.144880392749986,-8.968085496543432
2800,-10.693109065725082,-12.368129946824208,-9.132144935625513
2850,-10.88570720045048,-12.591507668665054,-9.296257866253805
2900,-11.07839121030294,-12.815015542971738,-9.460425176949787
2950,-11.27116244968198,-13.038655537990024,-9.624647752652429
3000,-11.464022264921752,-13.262429605198918,-9.788926474651932
3050,-11.65697199414194,-13.48633967899627,-9.953262220523149
3100,-11.85001296709823,-13.710387676383489,-10.117655864058989
3150,-12.04314650503234,-13.934575496649293,-10.28210827520356
3200,-12.236373920521611,-14.158905021052487,-10.446620319985184
3300,-12.623115590247881,-14.607996615247261,-10.775826754590964
3400,-13.01024829786702,-15.057677136329644,-11.10528201523153
3500,-13.397782216643545,-15.507960952731407,-11.434992882294821
3600,-13.785727366630532,-15.958862113649676,-11.764966067028823
3700,-14.17409360975778,-16.410394338691397,-12.095208209358313
3900,-14.952128002887997,-17.31540514915934,-12.75652555671273
4000,-15.341815041576833,-17.768909432005906,-13.087613665173171
4100,-15.731960940783445,-18.223096152809546,-13.418996533659788
4200,-16.1225746972832,-18.67797722637236,-13.750680412362533
4320,-16.59194116578593,-19.22476725532727,-14.149107075288615
4450,-17.101213294509556,-19.81829232347088,-14.581247275804907
4580,-17.611326738322276,-20.413055939932757,-15.013931992911099
4750,-18.27969705441426,-21.192728944677047,-15.58059337714633
4880,-18.791818720469003,-21.79043247483467,-16.014583160688744
5000,-19.265342802499294,-22.343317845952342,-16.415708853814305
5150,-19.85834228614457,-23.03601092144957,-16.91783222879774
5300,-20.45257919403643,-23.73048977588393,-17.420768035045896
5500,-21.246857471680606,-24.659277775251702,-18.092642624500144
5650,-21.84406433658089,-25.358005955185536,-18.59754020028403
5800,-22.442576349047663,-26.058584192256806,-19.10330546463312
6000,-23.242652550563303,-26.995589017224514,-19.77903521764307
6150,-23.844275342868453,-27.700530947417953,-20.28688344476104
6300,-24.447255954370526,-28.40735609143593,-20.795647839625488
6450,-25.051607039049472,-29.116067928133848,-21.30534152521994
6600,-25.657339731405862,-29.826666830918047,-21.815976937019222
6750,-26.264463609710685,-30.539150004313043,-22.32756580518463
6880,-26.79176916679337,-31.15815501440573,-22.771722591321353
7000,-27.279449218933,-31.730791378464428,-23.182362271815297
7150,-27.890317532048133,-32.44826086897463,-23.696545483136532
7320,-28.58434252769305,-33.263623586325984,-24.280483883907287
7500,-29.32117260741548,-34.12950294794393,-24.9001709489128
7650,-29.93675314460157,-34.85304841789593,-25.417685169692895
7800,-30.553745410366655,-35.57836524603823,-25.936213733649982
8000,-31.378590436516976,-36.54815742629237,-26.629172332389523
8200,-32.20592286539805,-37.52096394730324,-27.323954371572952
8400,-33.035721914074536,-38.49669246907275,-28.020567623618014
8600,-33.867960754205725,-39.47523925949763,-28.719017011296994
8800,-34.70260642306111,-40.456489187589604,-29.419304544477768
9000,-35.53961974565373,-41.44031575503101,-30.121429259266705
9200,-36.37895526882708,-42.426581167759956,-30.825387159811022
9400,-37.22056120811987,-43.41513644907385,-31.53117116302518
9600,-38.06437940821436,-44.40582159550695,-32.238771046511694
9800,-38.91034531774748,-45.398465776474225,-32.94817339995138
10000,-39.758387979230015,-46.392887578385356,-33.659361580241175
10200,-40.6084300347761,-47.388895293617495,-34.372315670660065
10400,-41.46038774829519,-48.386287254400976,-35.08701244434368
10600,-42.314171044739226,-49.384852211317025,-35.80342533234745
10800,-43.16968356693067,-50.38436975573904,-36.52152439657524
11000,-44.02682275042148,-51.38461078516994,-37.24127630784617
11200,-44.88547991675048,-52.38533801004573,-37.962644329365254
11500,-46.176059410982596,-53.8868027328012,-39.047637792607446
11800,-47.469383300584035,-55.38795289094406,-40.1360263866513
12000,-48.332907647368216,-56.388108155015836,-40.863423074333674
12200,-49.19731945282303,-57.387460741688166,-41.5922009054296
12500,-50.495288395446174,-58.88438480936461,-42.68783126250283
12800,-51.79443166625231,-60.377947579660834,-43.78623257570401
13000,-52.6609216555373,-61.37131920478338,-44.51992968434224
13200,-53.52754048623219,-62.362490276765456,-45.25468882307132
13500,-54.82734959287816,-63.8444983922958,-46.3586571309592
13800,-56.12650801761158,-65.31995601101313,-47.464587626930125
14000,-56.991963655885506,-66.29948440736761,-48.20282886279624
14200,-57.856693460967044,-67.27539836091739,-48.94173416277578
14500,-59.15203517123664,-68.73188867794212,-50.05114340951227
14800,-60.4447290009772,-70.17870965232781,-51.16153848951894
15000,-61.30474871240753,-71.13744371448372,-51.90219115327928
15500,-63.44723740359631,-73.51206958131206,-53.754464634364126
16000,-65.57661922433199,-75.85193299267603,-55.60637046578985
16500,-67.69003332927447,-78.15349734656667,-57.456242692223746
17000,-69.78467539692174,-80.41356255738896,-59.30235737958771
17500,-71.85783107026815,-82.62929412417161,-61.14294817880579
18000,-73.90690664793645,-84.79824142521502,-62.976222571992736
18500,-75.92945631837111,-86.91834572209835,-64.80037848427051
19000,-77.92320539202129,-88.98793875650111,-66.61362093076816
19500,-79.88606916516756,-91.00573311613452,-68.41417836703661
20000,-81.81616723189917,-92.97080572755718,-70.20031842218589
20500,-83.71183323629498,-94.88257591062569,-71.97036271687195
21000,-85.57162021542032,-96.74077941624125,-73.72270050148427
21500,-87.39430181806215,-98.54543978476778,-75.45580089160224
22000,-89.17886978961839,-100.29683822739808,-77.16822352567512
22500,-90.9245281883637,-101.99548306641094,-78.85862752138887
23000,-92.63068484293846,-103.64207958985763,-80.52577865973038
23500,-94.29694057779766,-105.23750099561285,-82.1685547769116
24000,-95.92307672630524,-106.78276092920282,-83.78594939193474
24500,-97.50904142477238,-108.27898796623784,-85.37707363993425
25000,-99.0549351398873,-109.72740225749894,-86.94115661726879
25500,-100.5609958314159,-111.12929444423011,-88.47754427289325
26000,-102.0275840960551,-112.4860068626473,-89.98569700153489
27000,-104.84431189559949,-115.0694230230488,-92.91568931664976
27500,-106.19565720869524,-116.29893148568064,-94.33698550719966
28000,-107.50991564579151,-117.48884666023159,-95.72894883976937
28500,-108.78785458871548,-118.64056172649826,-97.09154243972326
29000,-110.03028691880182,-119.7554514085036,-98.42481178711081
29500,-111.23806122661276,-120.83486597195743,-99.72887794760403
30000,-112.4120529829368,-121.88012641066233,-101.0039307639576
30500,-113.55315664691537,-122.89252067121538,-102.25022211072486
31000,-114.66227867257545,-123.8733007767566,-103.46805929851028
31500,-115.74033136461323,-124.82368072279822,-104.65779869818375
32000,-116.78822752733493,-125.74483503070266,-105.81983964061183
33000,-118.79717694295647,-127.50396256607887,-108.06260392751355
34000,-120.69628014576853,-129.15926721938314,-110.20019508244985
35000,-122.49246723088906,-130.71868603114407,-112.23681071120919
36000,-124.19237778421473,-132.18952885768672,-114.17687089787321
37000,-125.80231835606571,-133.57850863852155,-116.02490914451154
39000,-128.77572411645863,-136.13496779113737,-119.46311355241224
40000,-130.1499936232114,-137.313229022449,-121.06221653576638
41000,-131.45591157378234,-138.43127063396443,-122.58708022331899
42000,-132.6979996807025,-139.49339826559256,-124.04182993881847
43200,-134.11013630184348,-140.69966561479677,-125.70052179467692
44500,-135.55075051686958,-141.9291205068094,-127.39738206132168
45800,-136.9060889288265,-143.08498691129546,-128.99764947725612
47500,-138.5612878566215,-144.49583800225236,-130.95633098219056
48800,-139.74532280544952,-145.5047807535315,-132.35995928128725
50000,-140.78075922861942,-146.38702008084667,-133.5888580528318
51500,-142.00354778959652,-147.42892898494085,-135.04153358934886
53000,-143.1533418864885,-148.40880570138626,-136.4086065274489
55000,-144.58350592953775,-149.62803420098558,-138.1101115996901
56500,-145.5860446284994,-150.48310236111936,-139.30331067825512
58000,-146.53390942372448,-151.29192452132946,-140.4315955531491
60000,-147.7200959069594,-152.30474898459798,-141.84354965817712
61500,-148.55647790243566,-153.0193939354679,-142.8389660386673
63000,-149.35102090499151,-153.69872833545116,-143.7843655635743
64500,-150.10680101264887,-154.3453613309132,-144.68336235854048
66000,-150.82660709176747,-154.96165531197894,-145.53924631281504
67500,-151.51297254212247,-155.54975403793168,-146.35501623939564
68800,-152.082560423261,-156.03814424101685,-147.03169104406444
70000,-152.58877234691505,-156.4724787627964,-147.63281810114543
71500,-153.19669319842444,-156.9944603310482,-148.35437205730543
73200,-153.854423299029,-157.55971086737344,-149.1345682559945
75000,-154.5172116157532,-158.12987786076056,-149.9202105831974
76500,-155.04494009610448,-158.58429996770946,-150.5453237334027
78000,-155.5517677435,-159.02111986469882,-151.14528654946264
80000,-156.1971793599308,-159.57798428872627,-151.90869892586602
82000,-156.81036228956515,-160.10771899803404,-152.6333158552574
84000,-157.39375729402352,-160.61238696676108,-153.32206983902543
86000,-157.94956864217843,-161.09385230411687,-153.97761012947183
